seed,map_hash,outcome,time_s,cumulative_turn_deg,steering_tv_per_s,yaw_reversals,peak_yaw_deg_s,peak_yaw_accel_deg_s2,min_circle_clearance_m,compute_s
2000,60fba95e0ce45726,success,44.88,242.9065295048897,0.2977651140065133,3,21.665336593711498,20.761722146632625,-0.1493315354886552,5.34683599300115
2001,73d6dd461c8d3c98,success,63.92,279.5018210237663,0.3067642612743467,9,16.881368141722714,17.546413825114715,-0.21079281281322493,5.255485030997079
2002,3297f72b5c746989,success,48.88,244.59658517612274,0.2586943994678457,5,16.86201150196249,13.445673376280414,-0.2604946144655206,3.77091345000008
2003,8a9bbcbbeeee5fd8,success,52.44,310.72145620240116,0.3572166334948675,4,18.555362156783087,22.356865875877737,-0.22624797456279352,6.278047297997546
2004,c751461a6765e4b9,success,100.44,694.212817940534,0.47050105876294657,15,27.45939579949615,26.086495780662464,-0.2558119802377746,8.577436149000278
2005,8b2cf7b9e229f389,success,53.96,382.39179898239433,0.5001723529426121,4,19.871355120614155,21.861931140763215,-0.13527512273594383,4.919678908001515
2006,4aa83931d6ddeb42,success,57.04,423.2075426366721,0.5160154497866936,9,17.381940390059604,29.108955774866995,-0.2606365892208294,7.103275675999612
2007,0892db26cf515bed,success,41.800000000000004,250.2903671601328,0.34345987257111105,5,19.580451996169153,19.86977319415183,-0.18839718162120178,3.5008309750010085
2008,66faf7792b29e059,success,46.24,171.64628043605808,0.29190834711536795,3,17.905571361095475,16.25549169819214,-0.2549544954787288,3.506416108000849
2009,ec5398d1697712a8,success,60.64,318.4170382077173,0.33251491469642613,10,18.684644856282322,25.384473646243897,-0.20464668763326302,4.850801370997942
2010,62d40b66c1091e58,success,69.76,364.9714248043639,0.27048097291433293,6,18.920072181068967,16.886580576186144,-0.2518147678541176,5.5145596629990905
2011,6b3fc05e98866656,success,64.16,390.7245769938463,0.3623464114188567,9,16.962545533631957,20.154428745970453,-0.22448396245055832,5.7005142089983565
2012,21dad00fcaf3b3d2,success,68.56,402.06951112584164,0.38082686769513596,10,23.812573629682337,20.766459889678273,-0.3025981539509921,7.723910772998352
2013,0ddd628ff8890ba9,success,66.52,268.39074696139573,0.37397397950009414,12,14.132196156092274,21.692545072535076,-0.25325420091259687,9.752456649999658
2014,d468eeaaf2c6eac4,success,44.68,156.75593123280004,0.34065427443133156,2,16.959173427411155,14.349154327280994,-0.2247184387899358,3.50689096899805
2015,4d391eb9bfe349fd,success,52.04,394.81150728717864,0.4654263621329349,9,20.732644746566955,34.10428922077419,-0.18842928839619874,4.6952737890023855
2016,9bcf71bb5df54fe6,success,72.0,418.7256940954389,0.429189468433294,9,18.741539420176647,23.5322476188999,-0.24150946602858553,5.572122443001717
2017,850e58b9f98e1a01,success,81.88,424.2139749071483,0.3887791795857339,9,18.863650513819827,22.616662992441032,-0.2754439086335785,7.718022452998412
2018,4898b8356843d230,success,43.04,221.24097766197593,0.4016946854005692,3,18.19780874156075,29.071343032169462,-0.14491551959372656,3.314591581998684
2019,fbed22451aa2c8ab,success,59.480000000000004,434.13588458615374,0.4123702248055375,10,22.066314844353332,23.92822746235518,-0.23893722792231628,5.543682684998203
2020,b3624f590712f9f1,success,55.28,287.7935319409403,0.30764117729001167,9,17.08768546439779,13.903676736057673,-0.21001840480889356,4.115842054001405
2021,daf22d5727fa4d07,success,64.96000000000001,466.8173978509876,0.32861469931425774,9,21.235158534344247,26.50830920396247,-0.23548187530349252,5.112371955001436
2022,2414374d358a97f6,success,59.36,290.4896553524728,0.3804054446989993,7,15.03851609522283,28.822295862672867,-0.2276523419081147,4.699220075999619
2023,58aeeacf1cc4598d,success,58.72,397.3587212486263,0.3288085267912538,6,19.885336376086244,21.988974319054126,-0.19887995938981845,5.910545048998756
2024,f2d47164532aa4e9,success,48.88,312.14630315146263,0.2119318120127234,3,21.146892746979415,24.879783876834786,-0.21812979299708046,3.9059300450026058
2025,7de5bb4a16bf81b3,success,79.92,468.40967349416195,0.4226079414033855,14,25.26999643621921,25.843957807606767,-0.1411905794006577,7.041733193000255
2026,3c82dec880a49fbb,success,45.12,191.449491271575,0.2215751623806986,3,13.092611024541654,15.665117695357065,-0.2416166292869896,5.244007235000026
2027,fbaf304bda02cd1b,success,49.28,241.24905064696927,0.29444727775824886,6,21.800374574303696,22.074382744117113,-0.23026733738631264,3.572026043002552
2028,d4f063d80942de4c,success,88.60000000000001,496.6347456119538,0.4275249262523547,11,21.53568345806511,23.93884745862598,-0.2047023821144407,7.700770562001708
2029,0a658b4da82053ff,success,51.160000000000004,240.58222719709045,0.2430669368363592,6,16.930227938819403,14.551594539361691,-0.14091185072046528,5.205512360997091
