seed,map_hash,outcome,time_s,cumulative_turn_deg,steering_tv_per_s,yaw_reversals,peak_yaw_deg_s,peak_yaw_accel_deg_s2,min_circle_clearance_m,compute_s
2000,60fba95e0ce45726,success,45.84,360.3469333379227,0.19313262679645007,11,48.417069556173686,194.59097084435993,-0.09581787109375,1.7466330700008257
2001,73d6dd461c8d3c98,success,47.12,306.63058975660493,0.1413361071561525,12,21.826832584459677,81.15980003075346,-0.06531700134277343,2.1067378260013356
2002,3297f72b5c746989,success,47.12,341.0613903574853,0.14314239574197035,14,29.612134104635267,189.68708001729735,-0.11447822570800781,1.9028667819984548
2003,8a9bbcbbeeee5fd8,success,45.2,333.4525723273141,0.16729952652106242,10,49.644353892122055,285.1857804009414,-0.14470947265625,2.2415470900014043
2004,c751461a6765e4b9,success,49.76,387.8839019966203,0.18623170403200667,17,54.29119555527501,285.16430814110913,-0.16061439514160156,2.0928001669999503
2005,8b2cf7b9e229f389,success,48.72,405.6226247639058,0.2014342191187441,16,46.85143183292206,227.9094703084131,-0.008727035522460937,2.0193633350027085
2006,4aa83931d6ddeb42,success,49.72,397.09265639047965,0.1998695791777664,13,29.685730474125194,163.5940712989029,-0.16490463256835938,1.8887031249978463
2007,0892db26cf515bed,success,50.76,427.41350676989043,0.2213242475234759,15,48.68418932587497,276.7444831642088,-0.240361328125,2.2356539770007657
2008,66faf7792b29e059,success,47.56,379.605311258723,0.18337249820088516,13,48.40729428055541,181.36124698083395,-0.16811180114746094,1.4310619950010732
2009,ec5398d1697712a8,success,47.04,380.24332693603276,0.19354014728712488,13,46.37909745121506,216.87934679037124,-0.11441543579101562,1.713156103000074
2010,62d40b66c1091e58,success,48.96,388.47621050592574,0.1929659576168941,16,56.67936511382926,237.0188229391249,-0.13182540893554687,1.5372705299996596
2011,6b3fc05e98866656,success,50.2,347.05426391630976,0.12971103344431734,14,24.23888339506373,126.99412305399096,-0.1166302490234375,1.5490243990025192
2012,21dad00fcaf3b3d2,success,47.96,375.23820068985793,0.16090004830920232,14,45.65707477658772,285.17271215357533,-0.2175390625,1.3868830720020924
2013,0ddd628ff8890ba9,success,46.04,353.1394509717588,0.18950822970689923,13,47.92952553809849,261.06444807942904,-0.12440116882324219,1.538483869000629
2014,d468eeaaf2c6eac4,success,49.52,392.9469756350182,0.17719775113323777,13,39.73122330421277,162.90981949462372,-0.20577621459960938,1.757024010999885
2015,4d391eb9bfe349fd,success,49.56,381.6577466286977,0.21773895326850723,14,39.67593445807798,177.037421266417,-0.15784423828125,1.6443016470002476
2016,9bcf71bb5df54fe6,success,48.160000000000004,433.2443932261691,0.22854798584273378,19,32.18988968691296,215.96003684768428,-0.08075408935546875,1.5339431680004054
2017,850e58b9f98e1a01,success,49.88,365.7880579705728,0.17498425378314045,12,42.57787252123662,114.04775415574585,-0.1876233673095703,1.6271043749984528
2018,4898b8356843d230,success,54.24,689.6292242125538,0.34790264785026714,20,68.55717297581205,287.42593153725204,-0.2671479034423828,1.798860766000871
