avoid_scale,gps_gain,gap_gain,result
1.0,5.0,7.0,0
1.0,5.0,5.0,0
1.0,6.0,3.0,0
1.0,6.0,4.0,0
1.0,5.0,6.0,0
1.0,7.0,3.0,0
1.0,5.0,3.0,0
1.0,7.0,4.0,0
1.0,5.0,4.0,0
1.0,7.0,5.0,0
1.0,6.0,5.0,0
1.0,8.0,4.0,0
1.0,7.0,6.0,0
1.0,8.0,3.0,0
1.0,6.0,7.0,0
1.0,8.0,5.0,0
1.0,9.0,5.0,0
1.0,6.0,6.0,0
1.0,7.0,7.0,0
1.0,8.0,6.0,0
1.0,9.0,4.0,0
1.0,10.0,3.0,0
1.0,9.0,7.0,0
1.0,9.0,3.0,0
1.0,10.0,4.0,0
1.0,8.0,7.0,0
1.0,11.0,4.0,0
1.0,9.0,6.0,0
1.0,11.0,5.0,0
1.0,11.0,3.0,0
1.0,12.0,4.0,0
1.0,10.0,5.0,0
1.0,12.0,3.0,0
1.0,10.0,7.0,0
1.0,11.0,6.0,0
1.0,12.0,6.0,0
1.0,13.0,3.0,0
1.0,10.0,6.0,0
1.0,13.0,4.0,0
1.0,11.0,7.0,0
1.0,12.0,7.0,0
1.0,14.0,4.0,0
1.0,13.0,7.0,0
1.0,14.0,7.0,0
1.0,14.0,3.0,0
1.0,12.0,5.0,0
1.0,14.0,5.0,0
1.0,14.0,6.0,0
1.0,13.0,6.0,0
1.2,5.0,5.0,0
1.0,13.0,5.0,0
1.2,5.0,3.0,0
1.2,5.0,7.0,0
1.2,5.0,4.0,0
1.2,6.0,3.0,0
1.2,6.0,6.0,0
1.2,5.0,6.0,0
1.2,7.0,6.0,0
1.2,7.0,4.0,0
1.2,8.0,3.0,0
1.2,6.0,4.0,0
1.2,7.0,7.0,0
1.2,7.0,5.0,0
1.2,6.0,5.0,0
1.2,9.0,3.0,0
1.2,7.0,3.0,0
1.2,6.0,7.0,0
1.2,8.0,4.0,0
1.2,9.0,5.0,0
1.2,10.0,3.0,0
1.2,8.0,7.0,0
1.2,10.0,4.0,0
1.2,8.0,5.0,0
1.2,9.0,7.0,0
1.2,8.0,6.0,0
1.2,9.0,4.0,0
1.2,10.0,6.0,0
1.2,11.0,5.0,0
1.2,10.0,5.0,0
1.2,11.0,7.0,0
1.2,11.0,3.0,0
1.2,9.0,6.0,0
1.2,11.0,4.0,0
1.2,11.0,6.0,0
1.2,12.0,5.0,0
1.2,10.0,7.0,0
1.2,12.0,3.0,0
1.2,12.0,6.0,0
1.2,13.0,6.0,0
1.2,12.0,7.0,0
1.2,14.0,4.0,0
1.2,13.0,3.0,0
1.2,13.0,5.0,0
1.2,13.0,4.0,0
1.2,14.0,3.0,0
1.2,14.0,5.0,0
1.2,13.0,7.0,0
1.2,14.0,6.0,0
1.2,12.0,4.0,0
1.4,5.0,4.0,0
1.2,14.0,7.0,0
1.4,5.0,3.0,0
